Levenshtein.jaro_winkler,Amit Daryanani,Atif Malik,Blayne Curtis,Bob Halliday,C. J. Muse,C.J. Muse,Christopher Muse,Craig A. Ellis,Craig Ellis,Dan Durn,Daniel Durn,Daniel J. Durn,David M. Wong,David Wong,Edwin Mok,Farhan Ahmad,Gary Dickerson,Gary E. Dickerson,Harlan Sur,Jagadish Iyer,Jerome Ramel,Joe Moore,Joe Quatrochi,John Pitzer,John W. Pitzer,Joseph L. Moore,Joseph Moore,Krish Sankar,Mehdi Hosseini,Michael Sullivan,Mitch Steves,Patrick Ho,Patrick J Ho,Patrick J. Ho,Pierre Ferragu,Quinn Bolton,Robert Halliday,Robert J. Halliday,Romit Jitendra Shah,Romit Shah,Shek Ho,Sidney Ho,Sreekrishnan Sankar,Stephen Chin,Steven Chin,Thomas Robert Diffely,Tim Arcuri,Timothy Arcuri,Tom Diffely,Toshiya Hari,Unverified Participant,Vivek Arya,West Twigg,Weston Twigg,Y. Edwin Mok
Amit Daryanani,1.0,0.66,0.54,0.42,0.39,0.39,0.35,0.48,0.47,0.6,0.55,0.51,0.45,0.49,0.46,0.5,0.52,0.49,0.45,0.49,0.37,0.46,0.48,0.42,0.4,0.43,0.44,0.48,0.44,0.46,0.49,0.49,0.46,0.45,0.4,0.52,0.51,0.42,0.61,0.62,0.4,0.4,0.46,0.46,0.47,0.47,0.59,0.55,0.5,0.6,0.36,0.52,0.34,0.46,0.38
Atif Malik,0.66,1.0,0.4,0.58,0.47,0.47,0.27,0.52,0.55,0.41,0.42,0.4,0.4,0.37,0.61,0.29,0.48,0.46,0.37,0.34,0.52,0.47,0.51,0.29,0.45,0.44,0.46,0.58,0.44,0.52,0.45,0.5,0.47,0.46,0.5,0.52,0.61,0.54,0.45,0.52,0.41,0.47,0.32,0.52,0.52,0.27,0.48,0.48,0.46,0.49,0.48,0.48,0.42,0.52,0.49
Blayne Curtis,0.54,0.4,1.0,0.58,0.4,0.42,0.52,0.48,0.51,0.67,0.63,0.58,0.38,0.4,0.46,0.49,0.58,0.55,0.63,0.57,0.33,0.52,0.55,0.53,0.49,0.48,0.49,0.42,0.45,0.53,0.42,0.45,0.38,0.41,0.41,0.42,0.48,0.45,0.43,0.39,0.48,0.46,0.43,0.53,0.55,0.5,0.49,0.52,0.33,0.53,0.47,0.4,0.51,0.46,0.33
Bob Halliday,0.42,0.58,0.58,1.0,0.39,0.4,0.26,0.42,0.46,0.31,0.44,0.41,0.38,0.41,0.3,0.39,0.38,0.36,0.41,0.5,0.56,0.46,0.55,0.51,0.49,0.43,0.44,0.43,0.42,0.54,0.39,0.41,0.39,0.33,0.44,0.44,0.88,0.84,0.49,0.45,0.48,0.46,0.36,0.44,0.45,0.35,0.46,0.41,0.56,0.6,0.46,0.41,0.46,0.5,0.39
C. J. Muse,0.39,0.47,0.4,0.39,1.0,0.93,0.55,0.66,0.57,0.48,0.36,0.51,0.44,0.4,0.47,0.39,0.39,0.46,0.47,0.49,0.35,0.53,0.4,0.41,0.55,0.61,0.49,0.29,0.5,0.33,0.41,0.4,0.52,0.57,0.28,0.39,0.39,0.54,0.49,0.4,0.41,0.31,0.38,0.29,0.29,0.37,0.47,0.45,0.46,0.39,0.26,0.4,0.4,0.39,0.58
C.J. Muse,0.39,0.47,0.42,0.4,0.93,1.0,0.56,0.46,0.58,0.49,0.37,0.47,0.35,0.4,0.48,0.4,0.4,0.39,0.47,0.5,0.42,0.63,0.52,0.54,0.45,0.55,0.52,0.3,0.49,0.4,0.43,0.4,0.4,0.4,0.29,0.3,0.29,0.39,0.39,0.4,0.42,0.31,0.28,0.3,0.3,0.38,0.47,0.46,0.47,0.3,0.39,0.31,0.31,0.3,0.53
Christopher Muse,0.35,0.27,0.52,0.26,0.55,0.56,1.0,0.6,0.57,0.4,0.49,0.46,0.39,0.44,0.45,0.36,0.5,0.46,0.42,0.45,0.58,0.4,0.4,0.53,0.48,0.61,0.66,0.46,0.55,0.48,0.51,0.44,0.41,0.4,0.53,0.44,0.42,0.4,0.48,0.42,0.47,0.44,0.46,0.46,0.42,0.54,0.38,0.52,0.38,0.46,0.41,0.27,0.33,0.41,0.4
Craig A. Ellis,0.48,0.52,0.48,0.42,0.66,0.46,0.6,1.0,0.97,0.46,0.47,0.51,0.58,0.48,0.46,0.46,0.44,0.58,0.39,0.45,0.46,0.39,0.45,0.27,0.36,0.47,0.38,0.41,0.44,0.49,0.49,0.48,0.52,0.57,0.37,0.49,0.55,0.63,0.42,0.45,0.4,0.46,0.42,0.44,0.27,0.49,0.49,0.52,0.38,0.46,0.41,0.5,0.34,0.32,0.46
Craig Ellis,0.47,0.55,0.51,0.46,0.57,0.58,0.57,0.97,1.0,0.48,0.49,0.47,0.5,0.5,0.47,0.4,0.47,0.49,0.42,0.48,0.48,0.4,0.39,0.29,0.27,0.39,0.39,0.44,0.47,0.53,0.51,0.5,0.48,0.47,0.38,0.51,0.59,0.58,0.48,0.46,0.41,0.47,0.48,0.45,0.29,0.39,0.46,0.5,0.4,0.48,0.43,0.46,0.36,0.34,0.34
Dan Durn,0.6,0.41,0.67,0.31,0.48,0.49,0.4,0.46,0.48,1.0,0.94,0.72,0.68,0.71,0.49,0.49,0.47,0.45,0.58,0.4,0.31,0.49,0.54,0.55,0.46,0.4,0.47,0.47,0.4,0.52,0.4,0.45,0.43,0.42,0.3,0.44,0.29,0.29,0.45,0.41,0.42,0.49,0.45,0.54,0.55,0.45,0.45,0.46,0.31,0.47,0.45,0.48,0.41,0.47,0.47
